Балансы основной/нерассчитаный профилей:
(🟢) 🇧🇪 Бельгия | Betcenter | Be16.1 | 200.0 (59.2 / 40.0)
(🟢) 🇧🇪 Бельгия | Betfirst | Be15 | 960.0 (-197.23999999999995 / 959.1799999999994)
(🟢) 🇧🇪 Бельгия | Circus | Be16.1 | 900.0 (733.53 / 2359.9900000000002)
(🟢) 🇧🇪 Бельгия | Scooore | Be16 | 200.0 (362.96000000000004 / 367.92)
(🟢) 🇧🇪 Бельгия | Unibet | Be15 | 1410.0 (455.48999999999967 / 580.0500000000002)
(🟢) 🇧🇪 Бельгия | Bingoal | Be16 | 400.0 (864.99 / 832.55)
(🟢) 🇧🇪 Бельгия | Betway | Be15 | 200.0 (0 / 0)
(🟢) 🇧🇪 Бельгия | Unibet | Be16.1 | 200.0 (802.0 / 700.0)
(🟢) 🇧🇪 Бельгия | Bwin | Ez1 | 200.0 (-19.959999999999994 / 149.98)
(🟢) 🇸🇰 Словакия | Etipos | Sl19.2 | 790.0 (47.59999999999999 / 43.96)
(🟢) 🇸🇰 Словакия | Nike | Sl19.1 | 300.0 (-235.41000000000003 / 3117.540000000003)
(🟢) 🇸🇰 Словакия | Synottip | Sl19.2 | 800.0 (309.94 / 250.0599999999999)
(🟢) 🇸🇰 Словакия | Bet365 | Sk1.1 | 200.0 (0 / 0)
(🟢) 🇷🇺 Россия | Fonbet | Ru2.5 | 225.0 (0 / 0)
(🟢) 🇪🇸 Испания | Bet365 | Any82 | 2000.0 (-204.98 / 579.98)
(🟢) 🇪🇸 Испания | Bet365 | Any83 | 1473.0 (670.81 / 949.3000000000001)
(🟢) 🇪🇸 Испания | Bet365 | Tok1 | 2000.0 (-922.8500000000008 / 2088.350000000001)
(🟢) 🇪🇸 Испания | Bet365 | Any28 | 2000.0 (0 / 0)
(🟢) 🇪🇸 Испания | Bet365 | Any30 | 2000.0 (0 / 0)
(🟢) 🇪🇸 Испания | Bet365 | Any62 | 600.0 (0 / 0)
(🟢) 🇪🇸 Испания | Bet365 | Any81 | 2000.0 (0 / 0)
(🟢) 🇪🇸 Испания | Winamax | Es1 | 500.0 (404.99 / 808.69)
(🟢) 🇪🇸 Испания | Bet365 | Any85 | 1400.0 (709.1299999999999 / 6168.6)
(🟢) 🇪🇸 Испания | Bet365 | Any86 | 1385.0 (19.299999999999997 / 7.35)
(🟢) 🇪🇸 Испания | Bet365 | Any87 | 2000.0 (2155.5400000000004 / 4197.17)
(🟢) 🇪🇸 Испания | Bet365 | Tok2 | 1985.0 (856.8299999999999 / 1592.6000000000001)
(🟢) 🇪🇸 Испания | Williamhill | Es1 | 265.0 (431.38 / 521.67)
(🟢) 🇪🇸 Испания | Bet365 | Any89 | 1400.0 (1349.4799999999998 / 4601.780000000001)
(🟢) 🇪🇸 Испания | Bet365 | Any90 | 2305.0 (-1242.3399999999997 / 3018.2400000000007)
(🟢) 🇪🇸 Испания | Bet365 | Any91 | 1500.0 (68.61000000000021 / 6315.21)
(🟢) 🇪🇸 Испания | Bet365 | Any92 | 1500.0 (-493.97999999999985 / 5973.459999999994)
(🟢) 🇪🇸 Испания | Bet365 | Any93 | 1400.0 (-400.2199999999999 / 1990.7300000000002)
(🟢) 🇪🇸 Испания | Bet365 | Any94 | 1800.0 (-502.68000000000035 / 6308.809999999999)
(🟢) 🇪🇸 Испания | Bet365 | Any95 | 1200.0 (1144.86 / 2230.6)
(🟢) 🇪🇸 Испания | Bet365 | Any96 | 1500.0 (0 / 0)
(🔴) 🇪🇸 Испания | Bet365 | Any97 | 0 (450.0 / 500.0)
(🟢) 🇦🇹 Австрия | Admiral | Au27 | 900.0 (7577.760000000002 / 10638.129999999997)
(🟢) 🇦🇹 Австрия | Interwetten | Au26 | 280.0 (514.09 / 429.79999999999995)
(🟢) 🇦🇹 Австрия | Tipico | Au26 | 500.0 (120.0 / 100.0)
(🟢) 🇦🇹 Австрия | 888sport | Au22 | 350.0 (0 / 0)
